agency,sector_no,sector_name,nbhd_no,nbhd_name,rent,charges,provisions,fees,deposit,energy_rating,gas_rating,area,rooms,entrance,duplex,livingroom,livingroom_area,equipped_kitchen,openplan_kitchen,bedrooms,bathrooms,shower_rooms,toilets,separate_toilet,balcony,terraces,wooden_floor,fireplace,storage,heating,parking,cellar,pool,apt_flr_nb,furnished,renovated,elevator,intercom,digital_code,view,caretaker,reduced_mobility,metro,tram,bus,logrent
adl immobilier,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,467,CC,70.0,624.9,605.0,36.0,10.0,30.19,1,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,collective_gas,0,0,0,5.0,0,0,1,0,0,0,1,0,0,0,1,6.148468295917647
None,sector1,TOULOUSE CENTRE,n1_3,Les Chalets/Bayard/Belfort  Saint-Aubin/Dupuy,698,CC,40.0,551.83,657.69,226.0,9.0,42.45,3,0,0,0,0,0,0,2,0,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.54965074223381
None,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,741,CC,40.0,656.14,17.88,207.0,10.0,65.0,3,1,0,1,0,0,0,2,0,0,1.0,0,1,0,0,0,1,individual,1,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.60934924316738
None,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,368,CC,60.0,191.36,308.0,229.0,53.0,43.0,1,1,0,1,0,1,0,0,0,1,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,1,5.910796644040527
loft one,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,481,CC,45.0,299.0,441.0,246.0,11.0,23.0,1,0,0,0,0,1,0,0,0,0,1.0,0,0,1,0,0,0,individual_electrical,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,6.1779441140506
None,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,382,CC,30.0,312.0,352.0,224.0,8.0,43.0,1,1,0,1,0,1,0,0,1,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,5.948034989180646
booster location gestion,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,395,CC,75.0,213.33,395.0,72.5,9.0,16.0,1,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,1,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,5.981414211254481
None,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,1000,CC,60.0,775.5,940.0,175.0,41.0,44.12,3,1,0,0,0,0,0,2,1,0,1.0,1,0,0,0,0,0,individual_electrical,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,6.90875477931522
None,sector1,TOULOUSE CENTRE,n1_3,Les Chalets/Bayard/Belfort  Saint-Aubin/Dupuy,1498,CC,110.0,2213.38,1388.0,277.0,18.0,170.26,3,0,0,0,0,1,0,3,1,1,1.0,1,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,7.312553498102598
None,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,620,CC,90.0,465.96,530.0,46.0,11.0,42.36,2,1,0,1,0,1,0,1,0,1,1.0,1,0,1,0,0,0,collective_gas,0,0,0,2.0,0,0,1,1,1,0,0,0,0,0,0,6.431331081933479
