agency,sector_no,sector_name,nbhd_no,nbhd_name,rent,charges,provisions,fees,deposit,energy_rating,gas_rating,area,rooms,entrance,duplex,livingroom,livingroom_area,equipped_kitchen,openplan_kitchen,bedrooms,bathrooms,shower_rooms,toilets,separate_toilet,balcony,terraces,wooden_floor,fireplace,storage,heating,parking,cellar,pool,apt_flr_nb,furnished,renovated,elevator,intercom,digital_code,view,caretaker,reduced_mobility,metro,tram,bus,logrent
saint ex immobilier,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,870,CC,70.0,783.0,800.0,251.0,13.0,60.0,3,0,0,0,0,1,0,2,0,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,1,0,1,0,0,0,0,0,6.769641976852503
passion immo,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,500,CC,40.0,247.0,460.0,229.0,9.0,20.0,1,0,0,0,0,1,1,1,0,1,1.0,0,0,0,0,0,1,individual_electrical,0,0,0,4.0,1,0,0,0,0,0,0,0,0,0,0,6.2166061010848646
laforêt immobilier toulouse bonnefoy,sector1,TOULOUSE CENTRE,n1_3,Les Chalets/Bayard/Belfort  Saint-Aubin/Dupuy,425,CC,50.0,195.0,375.0,559.0,31.0,15.8,1,0,0,0,10,0,0,0,0,1,1.0,0,0,1,0,0,0,individual_electrical,0,0,0,1.0,0,0,0,1,0,0,0,0,1,0,1,6.054439346269371
fonciere immobiliere transaction,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,690,CC,55.0,507.0,1270.0,183.0,42.0,39.0,2,1,0,1,0,1,0,1,0,1,1.0,0,1,0,0,0,1,individual_electrical,1,1,0,2.0,1,0,1,0,0,0,0,0,0,0,0,6.53813982376767
cigec,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,593,CC,87.0,364.0,506.0,43.0,10.0,41.75,2,1,0,1,0,1,0,1,0,1,1.0,0,0,0,1,0,1,collective_gas,1,1,0,10.0,0,0,1,1,0,0,1,0,1,0,0,6.386879319362645
passion immo,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,435,CC,45.0,197.0,390.0,225.0,10.0,30.0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,1,individual_electrical,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,6.077642243349034
cabinet bedin toulouse demoiselles,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,506,CC,80.0,254.0,525.0,69.0,1.0,19.6,1,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,1,gas,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,6.2285110035911835
cabinet bedin toulouse demoiselles,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,580,CC,55.0,481.0,605.0,121.0,36.0,37.0,2,0,0,0,0,0,0,1,1,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.364750756851911
cabinet molieres,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,650,CC,20.0,390.0,630.0,184.5,13.0,30.0,2,0,0,0,0,0,0,1,0,1,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,1,0,0,0,0,1,0,0,6.478509642208569
patrim immobilier,sector5,TOULOUSE SUD EST,n5_3,Saint Michel - Le Busca - Empalot - Saint Agne,590,CC,50.0,456.0,592.0,222.0,10.0,32.67,2,0,0,0,0,0,0,1,1,0,1.0,1,1,0,1,0,1,individual_electrical,0,0,0,5.0,0,0,1,0,0,0,0,0,1,0,0,6.3818160174060985
agence metropole,sector2,TOULOUSE RIVE GAUCHE,n2_2,Croix de Pierre - Route d'Espagne,451,CC,68.5,658.97,648.0,372.0,87.0,47.0,2,0,0,0,0,0,0,1,1,0,1.0,1,0,0,0,0,0,individual_electrical,0,0,0,3.0,0,0,0,0,0,0,0,0,1,1,0,6.113682179832232
loft one,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,1287,CC,70.0,1012.03,1004.0,139.0,11.0,101.0,5,0,0,1,0,0,0,4,1,1,1.0,1,0,1,0,0,1,individual_electrical,1,0,0,5.0,0,0,1,0,0,0,0,0,0,0,0,7.160845906664299
None,sector5,TOULOUSE SUD EST,n5_3,Saint Michel - Le Busca - Empalot - Saint Agne,650,CC,0.0,0.0,592.0,202.0,13.0,50.0,1,0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,1,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,1,1,0,1,6.478509642208569
patrim immobilier,sector5,TOULOUSE SUD EST,n5_3,Saint Michel - Le Busca - Empalot - Saint Agne,435,CC,50.0,456.0,592.0,212.0,9.0,20.0,1,0,0,0,0,1,0,0,0,1,1.0,1,1,0,0,0,1,individual_electrical,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,6.077642243349034
le club de l'immo,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,620,CC,50.0,442.0,630.0,184.5,13.0,44.12,2,0,0,0,0,1,0,1,0,0,1.0,0,0,0,0,0,1,individual_electrical,0,0,0,2.0,1,0,0,0,0,0,0,0,1,0,0,6.431331081933479
le club de l'immo,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,330,CC,50.0,442.0,630.0,184.5,13.0,44.12,1,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,5.802118375377063
le club de l'immo,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,410,CC,50.0,442.0,630.0,184.5,13.0,44.12,1,1,0,0,0,1,0,0,1,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,6.018593214496234
le club de l'immo,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,595,CC,50.0,442.0,630.0,184.5,13.0,44.12,2,1,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,6.39024066706535
le club de l'immo,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,440,CC,50.0,442.0,630.0,184.5,13.0,44.12,1,0,0,0,0,1,0,0,0,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,1,0,0,0,0,0,0,0,1,0,0,6.089044875446846
fonciere immobiliere transaction,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,624,CC,50.0,574.0,574.0,184.5,13.0,48.52,2,1,0,1,0,0,0,1,1,0,1.0,0,0,0,0,0,0,individual_electrical,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,6.437751649736401
loft one,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,696,CC,50.0,550.36,546.0,189.0,44.0,59.0,3,0,0,0,0,0,0,2,1,0,1.0,0,0,0,0,0,0,gas,0,0,0,5.0,0,0,1,0,0,0,0,0,0,0,0,6.546785410760524
None,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,588,CC,0.0,0.0,605.0,139.0,11.0,34.0,2,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,1,6.3784261836515865
en quete d'immobilier,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,795,CC,50.0,358.67,1490.0,51.0,5.0,40.0,2,0,0,1,0,0,1,1,0,1,1.0,0,0,0,1,0,1,individual_electrical,0,0,0,2.0,1,1,0,1,0,0,0,0,1,0,0,6.679599185844383
gedim,sector6,TOULOUSE OUEST,n6_2,Lardenne - Pradettes - Basso Cambo,820,CC,75.0,700.0,745.0,161.0,8.0,77.0,4,1,0,1,0,1,0,3,1,1,1.0,1,0,1,0,0,1,individual_electrical,2,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1,6.710523109452428
cabinet rivet-vigreux,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,1320,CC,50.0,1123.24,1270.04,184.5,13.0,127.87,5,1,0,1,0,0,0,4,0,0,1.0,0,0,0,0,0,0,individual_gas,0,0,0,2.0,0,0,0,1,0,0,0,0,1,0,0,7.186144304522325
cabinet claude sanchez,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,455,CC,45.0,346.45,525.0,192.0,6.0,26.0,1,1,0,0,0,0,0,0,1,0,1.0,0,0,1,0,0,0,individual_electrical,0,0,0,2.0,0,0,1,1,1,0,0,0,1,0,0,6.1224928095143865
loft one,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,620,CC,60.0,618.62,537.0,45.0,10.0,58.0,3,0,0,1,0,0,0,2,1,0,1.0,1,0,1,0,0,1,gas,1,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,6.431331081933479
loft one,sector6,TOULOUSE OUEST,n6_1,Arènes Romaines - Saint Martin du Touch- Purpan,709,CC,67.5,791.96,653.0,56.0,13.0,60.0,3,0,0,0,0,1,1,2,1,0,1.0,1,0,1,1,0,1,gas,1,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,6.565264970035361
