link,agency,postal_code,sector_no,sector_name,nbhd_no,nbhd_name,rent,charges,provisions,fees,deposit,energy_rating,gas_rating,area,rooms,entrance,duplex,livingroom,livingroom_area,equipped_kitchen,openplan_kitchen,bedrooms,bathrooms,shower_rooms,toilets,separate_toilet,balcony,terraces,wooden_floor,fireplace,storage,heating,parking,cellar,pool,construction_year,bldg_flr_nb,apt_flr_nb,furnished,renovated,elevator,intercom,digital_code,orientation,view,caretaker,reduced_mobility,metro,tram,bus
https://www.seloger.com/annonces/locations/appartement/toulouse-31/minimes-barriere-de-paris/155443675.htm,zaf immobilier,,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,590,CC,,,,227.0,10.0,42.03,2,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,,0,0,1,,,3.0,0,0,0,0,0,,0,0,0,1,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/capitole/153552255.htm,eurim,,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,1650,CC,300.0,1105.0,1350.0,,,85.0,3,0,0,0,0,0,0,2,0,0,,0,0,0,0,0,0,collective_gas,0,0,0,1980.0,9.0,8.0,0,1,1,1,0,west,1,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/amidonniers-caffarelli/155006867.htm,eurim,,sector1,TOULOUSE CENTRE,n1_2,Amidonniers - Compans Caffarelli,1351,CC,80.0,1179.1,1271.22,148.0,7.0,90.7,4,1,0,1,33,0,0,3,1,1,,0,0,0,0,0,0,individual_electrical,0,0,0,,7.0,2.0,0,0,1,0,0,south_est,1,0,0,1,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/lalande-grand-selve/154406029.htm,sporting immobilier,,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,545,CC,,,,61.0,14.0,42.0,2,1,0,1,0,1,0,1,0,1,1.0,1,1,0,0,0,0,gas,0,0,0,,1.0,1.0,0,0,1,0,1,,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/croix-daurade-borderouge-paleficat-trois-cocus-/151016623.htm,cdc habitat,,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,685,CC,,,,66.0,15.0,66.0,3,0,0,0,0,0,0,2,1,0,,0,1,0,0,0,1,collective_gas,1,0,0,2012.0,,1.0,0,0,1,0,0,west,0,0,0,1,0,1
https://www.seloger.com/annonces/locations/appartement/toulouse-31/capitole/154860957.htm,eurim,,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,1465,CC,65.0,936.0,1400.0,,,72.0,3,1,0,1,35,0,0,2,0,1,1.0,1,0,0,1,1,1,individual_gas,0,0,0,,4.0,2.0,0,0,0,0,0,north_west,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/croix-daurade-borderouge-paleficat-trois-cocus-/155880669.htm,immobiliare,,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,750,CC,60.0,745.2,690.0,,,71.0,4,0,0,1,26,0,0,0,1,0,1.0,0,1,0,0,0,1,individual,2,0,0,2016.0,4.0,2.0,0,0,1,1,1,,0,0,1,0,0,1
https://www.seloger.com/annonces/locations/appartement/toulouse-31/fontaine-bayonne-cartoucherie/155584513.htm,zaf immobilier,,sector2,TOULOUSE RIVE GAUCHE,n2_1,Saint-Cyprien,457,CC,,,,159.0,6.0,20.0,1,0,0,1,0,0,0,0,0,0,,0,0,1,0,0,1,,0,0,0,,5.0,,0,0,0,0,0,,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/154435629.htm,barthas immobilier,,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,790,CC,,,,,,75.0,3,0,0,0,0,0,0,2,0,0,1.0,1,1,0,0,0,1,collective_gas,0,0,0,,7.0,5.0,1,0,0,0,0,,0,0,0,1,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/153408045.htm,stlimmo,,sector6,TOULOUSE OUEST,n6_1,Arènes Romaines - Saint Martin du Touch- Purpan,871,CC,,903.0,784.0,59.0,13.0,81.51,4,0,0,0,0,1,0,3,1,1,1.0,0,0,2,0,0,1,individual_gas,2,0,0,2019.0,2.0,2.0,0,0,0,1,0,est,0,0,1,0,0,1
https://www.seloger.com/annonces/locations/appartement/toulouse-31/pont-des-demoiselles-montaudran-la-terrasse/155685265.htm,square habitat,,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,401,CC,55.0,337.48,346.0,36.0,10.0,25.96,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,collective_gas,0,0,0,2012.0,1.0,2.0,0,0,1,0,0,,0,1,1,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/minimes-barriere-de-paris/153873941.htm,raoux immobilier,,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,490,CC,50.0,264.0,440.0,393.0,92.0,46.0,2,1,0,0,0,0,0,1,0,1,1.0,0,0,0,0,0,1,gas,0,0,0,,4.0,,0,0,0,0,0,,0,0,0,1,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/purpan-saint-martin-du-touch/153516363.htm,tagerim gestion,31300,sector2,TOULOUSE RIVE GAUCHE,n2_3,Fontaine-Lestang - Arènes -Bagatelle - Papus - Tabar - Bordelongue - Mermoz - La Faourette,532,CC,,,,37.0,8.0,35.64,2,0,0,0,18,0,0,1,0,1,,0,1,0,1,0,0,collective_gas,1,0,1,2015.0,,2.0,0,0,1,0,0,,0,0,0,1,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/fontaine-lestang-bagatelle-papus-tabar-bordelongue/155820599.htm,immosky,31100,sector2,TOULOUSE RIVE GAUCHE,n2_3,Fontaine-Lestang - Arènes -Bagatelle - Papus - Tabar - Bordelongue - Mermoz - La Faourette,525,CC,,,,219.0,9.0,44.0,2,0,0,1,0,1,0,1,1,0,1.0,0,0,1,0,0,1,individual_electrical,1,0,0,1990.0,,3.0,0,0,0,1,0,,0,0,0,1,0,0
