link,agency,sector_no,sector_name,nbhd_no,nbhd_name,rent,charges,fees,deposit,energy_rating,gas_rating,area,rooms,entrance,duplex,livingroom,livingroom_area,equipped_kitchen,openplan_kitchen,bedrooms,bathrooms,shower_rooms,toilets,separate_toilet,balcony,terraces,wooden_floor,fireplace,storage,heating,parking,cellar,pool,apt_flr_nb,furnished,renovated,elevator,intercom,digital_code,view,caretaker,reduced_mobility,metro,tram,bus
https://www.seloger.com/annonces/locations/appartement/toulouse-31/capitole/153232015.htm,None,sector1,TOULOUSE CENTRE,n1_3,Les Chalets/Bayard/Belfort  Saint-Aubin/Dupuy,1269,CC,1081.08,611.0,179.5,13.5,106.0,4,1,0,0,0,1,0,1,1,0,1.0,1,1,1,0,0,1,individual,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/rangueil-sauzelong-pech-david-pouvourville/154873133.htm,None,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,599,CC,630.5,533.0,153.0,4.0,48.5,2,1,0,1,0,1,0,1,1,0,1.0,1,0,1,0,0,1,individual_electrical,0,0,0,2.0,0,0,1,1,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/croix-daurade-borderouge-paleficat-trois-cocus-/155351153.htm,cabinet dalas,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,507,CC,576.61,580.0,41.0,9.0,42.0,2,0,0,0,0,0,0,1,1,0,1.0,0,0,1,0,0,0,individual,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,1
https://www.seloger.com/annonces/locations/appartement/toulouse-31/saint-michel-le-busca-empalot-saint-agne/155644955.htm,None,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,523,CC,406.12,508.98,328.0,17.0,31.24,1,1,0,1,0,0,0,0,0,0,1.0,0,1,0,0,0,0,individual_electrical,1,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/cote-pavee-l-hers-la-terrasse/154411163.htm,capitole gestion,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,608,CC,457.51,508.35,161.5,11.0,44.98,2,1,0,0,0,0,0,1,1,0,1.0,1,1,0,0,0,1,collective_gas,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/capitole/155401061.htm,pure gestion locative,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,737,CC,736.9,707.0,55.0,55.0,73.69,4,1,0,1,26,0,0,3,1,0,1.0,1,1,0,0,0,1,individual_gas,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/153237329.htm,None,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,760,CC,750.0,630.0,59.0,11.0,62.25,3,1,0,1,0,0,0,2,1,0,1.0,1,1,0,1,0,1,collective_gas,1,0,0,2.0,0,0,1,1,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/154547877.htm,faivre immobilier,sector2,TOULOUSE RIVE GAUCHE,n2_2,Croix de Pierre - Route d'Espagne,738,CC,427.68,648.0,323.5,18.0,77.0,3,0,0,1,0,0,0,2,1,0,1.0,0,0,0,0,0,1,individual_electrical,1,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/154770091.htm,cigec,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,490,CC,275.08,430.0,202.0,10.0,21.16,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0,1,central,1,1,0,3.0,1,0,1,1,0,0,1,0,1,0,1
https://www.seloger.com/annonces/locations/appartement/toulouse-31/155139343.htm,cabinet l'immeuble,sector5,TOULOUSE SUD EST,n5_3,Saint Michel - Le Busca - Empalot - Saint Agne,1087,CC,1300.0,980.0,203.0,47.0,100.0,5,0,0,0,0,0,0,4,1,0,1.0,1,1,0,0,0,1,individual_gas,0,0,0,3.0,0,0,0,1,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/155579899.htm,None,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,743,CC,508.5,662.83,416.0,25.0,56.5,3,0,0,1,24,1,1,2,0,1,1.0,1,0,1,0,0,0,individual_electrical,1,0,0,2.0,0,0,0,1,1,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/155587927.htm,l'union immobilier,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,560,CC,560.0,490.0,226.0,11.0,50.0,2,1,0,1,20,0,0,1,0,0,1.0,0,0,0,0,0,0,individual_electrical,0,1,0,3.0,0,0,1,0,0,0,0,0,1,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/155855587.htm,societe de gestion locative,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,960,CC,927.6,860.0,31.0,7.0,86.56,4,1,0,1,36,0,0,3,1,0,1.0,0,0,2,1,0,1,individual,2,0,1,2.0,0,0,0,0,0,0,1,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/153615939.htm,None,sector1,TOULOUSE CENTRE,n1_2,Amidonniers - Compans Caffarelli,435,CC,325.0,400.0,217.0,11.0,25.0,1,1,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,1,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,1
https://www.seloger.com/annonces/locations/appartement/toulouse-31/rangueil-sauzelong-pech-david-pouvourville/153284245.htm,None,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,450,CC,339.69,385.0,319.0,15.0,26.13,1,1,0,0,0,1,0,0,1,0,1.0,0,1,0,0,0,0,individual_electrical,0,0,0,6.0,0,0,0,0,0,0,0,0,1,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/lardenne-les-pradettes-basso-cambo/153428877.htm,adl immobilier,sector6,TOULOUSE OUEST,n6_2,Lardenne - Pradettes - Basso Cambo,700,CC,494.0,609.77,53.0,12.0,69.23,3,0,0,1,0,1,1,2,1,0,1.0,0,1,1,0,0,0,individual_gas,1,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/jolimont-soupetard-bonhoure/153434199.htm,sogem,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,430,CC,540.8,610.0,204.0,47.0,21.57,1,1,0,0,0,1,0,0,0,1,1.0,0,0,0,1,0,1,individual_gas,1,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/jolimont-soupetard-bonhoure/154517573.htm,None,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,670,CC,465.0,600.0,148.5,12.0,51.0,2,1,0,1,0,0,0,1,1,0,1.0,0,0,0,1,0,1,individual_electrical,1,0,0,2.0,0,0,0,1,0,0,0,0,1,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/purpan-saint-martin-du-touch/153194041.htm,soprim,sector6,TOULOUSE OUEST,n6_1,Arènes Romaines - Saint Martin du Touch- Purpan,799,CC,579.84,650.0,173.0,7.0,71.0,3,0,0,1,22,0,0,3,1,0,1.0,1,1,0,1,0,0,individual_electrical,1,0,0,3.0,0,0,0,0,0,0,0,0,0,1,1
https://www.seloger.com/annonces/locations/appartement/toulouse-31/purpan-saint-martin-du-touch/153328711.htm,None,sector6,TOULOUSE OUEST,n6_1,Arènes Romaines - Saint Martin du Touch- Purpan,600,CC,507.78,540.0,63.0,13.0,39.0,2,1,0,1,0,1,1,1,1,0,1.0,0,0,1,0,0,0,individual_electrical,1,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/lalande-grand-selve/154251915.htm,None,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,565,CC,632.84,485.0,71.0,17.0,48.68,2,0,0,1,0,1,0,2,1,0,1.0,0,1,0,0,0,0,collective_gas,0,0,1,3.0,0,0,1,1,1,0,1,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/lalande-grand-selve/154271857.htm,sng extensia,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,550,CC,440.0,633.0,50.0,5.0,45.07,2,1,0,0,0,1,0,1,0,1,1.0,0,0,1,0,0,1,individual_gas,0,0,1,2.0,0,0,1,0,0,0,0,0,0,0,1
https://www.seloger.com/annonces/locations/appartement/toulouse-31/purpan-saint-martin-du-touch/154342977.htm,elyade gerance,sector2,TOULOUSE RIVE GAUCHE,n2_3,Fontaine-Lestang - Arènes -Bagatelle - Papus - Tabar - Bordelongue - Mermoz - La Faourette,731,CC,731.0,636.0,42.0,10.0,61.66,3,1,0,1,0,1,0,2,1,0,1.0,1,1,0,1,0,1,collective_gas,0,0,0,1.0,0,0,1,1,0,0,1,0,0,1,1
https://www.seloger.com/annonces/locations/appartement/toulouse-31/rangueil-sauzelong-pech-david-pouvourville/154501865.htm,credit agricole immobilier,sector1,TOULOUSE CENTRE,n1_3,Les Chalets/Bayard/Belfort  Saint-Aubin/Dupuy,588,CC,505.83,491.0,70.0,13.0,38.91,2,0,0,0,0,0,0,1,1,0,1.0,1,1,0,0,0,0,individual_electrical,1,0,0,2.0,0,0,0,1,0,0,0,0,1,0,1
https://www.seloger.com/annonces/locations/appartement/toulouse-31/minimes-barriere-de-paris/155335521.htm,None,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,510,CC,441.0,460.0,155.5,11.0,37.36,2,0,0,1,20,1,1,1,0,1,1.0,0,1,0,1,0,1,individual_gas,1,0,0,2.0,0,0,1,0,1,1,0,0,1,0,1
https://www.seloger.com/annonces/locations/appartement/toulouse-31/saint-michel-le-busca-empalot-saint-agne/155392091.htm,cabinet du midi,sector5,TOULOUSE SUD EST,n5_3,Saint Michel - Le Busca - Empalot - Saint Agne,482,CC,370.99,370.99,268.0,13.0,31.54,1,1,0,1,20,1,0,0,1,0,1.0,0,0,0,0,0,1,individual_electrical,1,1,0,3.0,0,0,1,1,0,1,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/capitole/155421775.htm,eurim,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,2880,CC,2340.0,2700.0,188.0,13.0,180.0,4,1,0,0,0,0,0,3,1,0,2.0,1,0,0,1,0,0,individual_gas,0,0,0,3.0,0,0,0,1,1,1,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/les-chalets-saint-aubin-saint-etienne/154570995.htm,None,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,500,CC,403.0,470.0,188.0,13.0,31.0,1,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,1,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/154207029.htm,agence mateille,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,530,CC,559.0,485.0,50.0,9.0,43.03,2,0,0,1,0,0,1,1,0,1,1.0,0,0,1,0,0,1,individual_gas,1,0,0,2.0,0,0,0,0,0,0,0,0,1,0,1
https://www.seloger.com/annonces/locations/appartement/toulouse-31/fontaine-bayonne-cartoucherie/155653083.htm,None,sector2,TOULOUSE RIVE GAUCHE,n2_4,Casselardit - Fontaine-Bayonne - Cartoucherie,720,CC,0.0,623.0,167.0,6.0,45.0,2,1,0,1,0,0,1,1,1,0,1.0,1,1,0,0,0,1,individual_electrical,0,0,1,2.0,1,0,1,0,0,0,0,0,0,1,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/154229231.htm,None,sector2,TOULOUSE RIVE GAUCHE,n2_1,Saint-Cyprien,760,CC,0.0,591.0,206.5,12.0,75.0,3,0,0,0,0,0,0,2,1,0,1.0,0,1,0,0,0,1,gas,0,0,0,3.0,0,0,0,0,0,0,0,0,1,0,0
https://www.seloger.com/annonces/locations/appartement/toulouse-31/152690111.htm,None,sector1,TOULOUSE CENTRE,n1_3,Les Chalets/Bayard/Belfort  Saint-Aubin/Dupuy,1075,CC,900.0,1000.0,179.5,13.5,60.0,3,1,0,0,0,0,0,2,0,1,1.0,0,2,0,1,0,1,individual_gas,0,0,0,4.0,0,0,1,0,0,1,0,0,0,0,0
