link,agency,sector_no,sector_name,nbhd_no,nbhd_name,charges,fees,deposit,energy_rating,gas_rating,area,rooms,entrance,duplex,livingroom,livingroom_area,equipped_kitchen,openplan_kitchen,bedrooms,bathrooms,shower_rooms,toilets,separate_toilet,balcony,terraces,wooden_floor,fireplace,storage,heating,parking,cellar,pool,apt_flr_nb,furnished,renovated,elevator,intercom,digital_code,view,caretaker,reduced_mobility,metro,tram,bus,rental_price,rental_price_pred,pct_change,category
https://www.seloger.com/annonces/locations/appartement/toulouse-31/minimes-barriere-de-paris/155443675.htm,zaf immobilier,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,CC,538.2,566.0,227.0,10.0,42.03,2,0,0,1,0,0,0,1,0,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,1,3.0,0,0,0,0,0,0,0,0,1,0,0,590.0000000000002,550.30743,0.07,Fair-value
https://www.seloger.com/annonces/locations/appartement/toulouse-31/capitole/153552255.htm,eurim,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,CC,1105.0,1350.0,188.0,13.0,85.0,3,0,0,0,0,0,0,2,0,0,1.0,0,0,0,0,0,0,collective_gas,0,0,0,8.0,0,1,1,1,0,1,0,0,0,0,0,1650.0000000000007,1448.3453,0.14,Overvalued
https://www.seloger.com/annonces/locations/appartement/toulouse-31/amidonniers-caffarelli/155006867.htm,eurim,sector1,TOULOUSE CENTRE,n1_2,Amidonniers - Compans Caffarelli,CC,1179.1,1271.22,148.0,7.0,90.7,4,1,0,1,33,0,0,3,1,1,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,1,0,0,1,0,0,1,0,0,1351.0000000000005,1249.4264,0.08,Fair-value
https://www.seloger.com/annonces/locations/appartement/toulouse-31/lalande-grand-selve/154406029.htm,sporting immobilier,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,CC,559.5,563.735,61.0,14.0,42.0,2,1,0,1,0,1,0,1,0,1,1.0,1,1,0,0,0,0,gas,0,0,0,1.0,0,0,1,0,1,0,0,0,0,0,0,545.0000000000001,534.69226,0.02,Fair-value
https://www.seloger.com/annonces/locations/appartement/toulouse-31/croix-daurade-borderouge-paleficat-trois-cocus-/151016623.htm,cdc habitat,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,CC,576.61,580.0,66.0,15.0,66.0,3,0,0,0,0,0,0,2,1,0,1.0,0,1,0,0,0,1,collective_gas,1,0,0,1.0,0,0,1,0,0,0,0,0,1,0,1,684.9999999999998,705.28986,-0.03,Fair-value
https://www.seloger.com/annonces/locations/appartement/toulouse-31/capitole/154860957.htm,eurim,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,CC,936.0,1400.0,188.0,13.0,72.0,3,1,0,1,35,0,0,2,0,1,1.0,1,0,0,1,1,1,individual_gas,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,1465.0000000000011,1100.1941,0.33,Overvalued
https://www.seloger.com/annonces/locations/appartement/toulouse-31/croix-daurade-borderouge-paleficat-trois-cocus-/155880669.htm,immobiliare,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,CC,745.2,690.0,72.5,9.0,71.0,4,0,0,1,26,0,0,0,1,0,1.0,0,1,0,0,0,1,individual,2,0,0,2.0,0,0,1,1,1,0,0,1,0,0,1,749.9999999999998,750.5617,-0.0,Fair-value
https://www.seloger.com/annonces/locations/appartement/toulouse-31/fontaine-bayonne-cartoucherie/155584513.htm,zaf immobilier,sector2,TOULOUSE RIVE GAUCHE,n2_1,Saint-Cyprien,CC,520.0,591.0,159.0,6.0,20.0,1,0,0,1,0,0,0,0,0,0,1.0,0,0,1,0,0,1,individual_electrical,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,456.9999999999998,474.52963,-0.04,Fair-value
https://www.seloger.com/annonces/locations/appartement/toulouse-31/154435629.htm,barthas immobilier,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,CC,540.8,610.0,148.5,12.0,75.0,3,0,0,0,0,0,0,2,0,0,1.0,1,1,0,0,0,1,collective_gas,0,0,0,5.0,1,0,0,0,0,0,0,0,1,0,0,789.9999999999997,852.75134,-0.07,Fair-value
https://www.seloger.com/annonces/locations/appartement/toulouse-31/153408045.htm,stlimmo,sector6,TOULOUSE OUEST,n6_1,Arènes Romaines - Saint Martin du Touch- Purpan,CC,903.0,784.0,59.0,13.0,81.51,4,0,0,0,0,1,0,3,1,1,1.0,0,0,2,0,0,1,individual_gas,2,0,0,2.0,0,0,0,1,0,0,0,1,0,0,1,871.0,875.9652,-0.01,Fair-value
https://www.seloger.com/annonces/locations/appartement/toulouse-31/pont-des-demoiselles-montaudran-la-terrasse/155685265.htm,square habitat,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,CC,337.48,346.0,36.0,10.0,25.96,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,collective_gas,0,0,0,2.0,0,0,1,0,0,0,1,1,0,0,0,401.0,418.03494,-0.04,Fair-value
https://www.seloger.com/annonces/locations/appartement/toulouse-31/minimes-barriere-de-paris/153873941.htm,raoux immobilier,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,CC,264.0,440.0,393.0,92.0,46.0,2,1,0,0,0,0,0,1,0,1,1.0,0,0,0,0,0,1,gas,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,489.99999999999943,543.0044,-0.1,Fair-value
https://www.seloger.com/annonces/locations/appartement/toulouse-31/purpan-saint-martin-du-touch/153516363.htm,tagerim gestion,sector2,TOULOUSE RIVE GAUCHE,n2_3,Fontaine-Lestang - Arènes -Bagatelle - Papus - Tabar - Bordelongue - Mermoz - La Faourette,CC,0.0,545.86,37.0,8.0,35.64,2,0,0,0,18,0,0,1,0,1,1.0,0,1,0,1,0,0,collective_gas,1,0,1,2.0,0,0,1,0,0,0,0,0,1,0,0,531.9999999999993,527.11816,0.01,Fair-value
https://www.seloger.com/annonces/locations/appartement/toulouse-31/fontaine-lestang-bagatelle-papus-tabar-bordelongue/155820599.htm,immosky,sector2,TOULOUSE RIVE GAUCHE,n2_3,Fontaine-Lestang - Arènes -Bagatelle - Papus - Tabar - Bordelongue - Mermoz - La Faourette,CC,0.0,545.86,219.0,9.0,44.0,2,0,0,1,0,1,0,1,1,0,1.0,0,0,1,0,0,1,individual_electrical,1,0,0,3.0,0,0,0,1,0,0,0,0,1,0,0,525.0000000000001,562.76965,-0.07,Fair-value
