rent,energy_rating,gas_rating,area,entrance,duplex,livingroom,livingroom_area,equipped_kitchen,openplan_kitchen,bathrooms,shower_rooms,toilets,separate_toilet,balcony,terraces,wooden_floor,fireplace,storage,parking,cellar,pool,apt_flr_nb,furnished,renovated,elevator,intercom,digital_code,view,caretaker,reduced_mobility,metro,tram,bus,sector_no_sector1,sector_no_sector2,sector_no_sector3,sector_no_sector4,sector_no_sector5,sector_no_sector6,nbhd_no_n1_1,nbhd_no_n1_2,nbhd_no_n1_3,nbhd_no_n2_1,nbhd_no_n2_2,nbhd_no_n2_3,nbhd_no_n2_4,nbhd_no_n3_1,nbhd_no_n3_2,nbhd_no_n3_3,nbhd_no_n4_1,nbhd_no_n4_2,nbhd_no_n4_3,nbhd_no_n5_1,nbhd_no_n5_2,nbhd_no_n5_3,nbhd_no_n6_1,nbhd_no_n6_2,nbhd_no_n6_3,nbhd_no_n6_4,heating_central,heating_collective_gas,heating_gas,heating_individual,heating_individual_electrical,heating_individual_gas,agency_flag
6.278521424165844,4.838059349133916,2.6025944687727294,4.775336422793132,0,0,0,3.7019729772844623,0,0,0,1,0.7304631471189666,0,0.7304631471189666,0.0,1,0,0,0.7304631471189666,0,1,1.1943176378757767,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6.26530121273771,8.305068732469508,2.750250297485029,5.133567292834429,0,0,1,0.0,1,0,1,0,0.7304631471189666,0,0.0,0.7304631471189666,0,0,1,0.7304631471189666,0,0,1.5409627556327752,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6.150602768446279,7.020909424392293,4.492017742920502,4.2014612941903655,0,0,0,0.0,0,0,0,1,0.7304631471189666,0,0.0,0.0,0,0,1,0.0,0,0,1.1943176378757767,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
6.53813982376767,7.9678374640434715,3.2377281976988326,5.0533710494211155,1,0,1,0.0,0,0,1,0,0.7304631471189666,0,0.0,0.0,0,0,1,0.0,0,0,1.1943176378757767,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6.478509642208569,7.15298821355506,1.8203341036428238,4.545285536716194,0,0,0,0.0,1,1,1,0,0.7304631471189666,0,0.0,0.0,0,0,1,0.0,0,0,1.1943176378757767,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6.710523109452428,6.694190605394483,1.5409627556327752,5.995517194712504,1,0,0,0.0,1,0,1,0,0.7304631471189666,0,0.0,0.7304631471189666,0,0,1,0.0,0,0,0.7304631471189666,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6.439350371100098,7.9794261170782095,2.6025944687727294,5.2483574728065365,0,0,1,4.003419248109409,0,0,0,1,0.7304631471189666,0,0.7304631471189666,0.0,0,0,1,0.7304631471189666,0,0,0.7304631471189666,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.042632833682381,8.263917622663177,2.885846472488202,3.959059963686374,0,0,0,0.0,0,0,1,0,0.7304631471189666,0,0.0,0.0,0,0,0,0.0,0,0,1.5409627556327752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
6.398594934535208,7.68574736325982,4.882972919330174,4.697012078927853,0,0,0,0.0,1,1,1,0,0.7304631471189666,0,0.0,0.0,0,0,1,0.7304631471189666,0,0,1.1943176378757767,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6.359573868672378,8.72889799237455,3.011340243262834,4.9269180446816625,0,0,0,3.7019729772844623,1,0,1,0,0.7304631471189666,0,0.0,0.0,0,0,1,0.7304631471189666,0,0,0.7304631471189666,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.55250788703459,7.639943575432872,3.011340243262834,5.709570634897267,1,0,0,0.0,0,0,1,0,0.7304631471189666,1,0.7304631471189666,0.0,0,0,1,0.0,0,0,1.1943176378757767,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6.731018100482083,5.357203202420049,3.011340243262834,6.148460831341732,0,0,1,0.0,0,0,1,0,0.7304631471189666,0,0.0,0.7304631471189666,0,0,1,0.0,0,0,1.1943176378757767,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6.556778356158042,8.520649910578081,3.128238685769432,5.357203202420049,0,0,0,3.858806663498184,1,1,1,0,0.7304631471189666,0,0.7304631471189666,0.0,0,0,0,0.7304631471189666,0,0,0.7304631471189666,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.519147287940395,3.858806663498184,2.055641538058108,5.59142712460611,1,0,1,0.0,0,0,1,0,0.7304631471189666,1,0.7304631471189666,0.0,0,0,1,0.0,0,0,2.2596737867230705,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6.541029999189903,7.799865873444875,2.440268378362637,5.831327892742091,0,0,1,4.792129643835174,0,0,1,0,0.7304631471189666,1,0.7304631471189666,0.0,0,0,1,0.7304631471189666,0,0,0.7304631471189666,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6.633318433280377,7.397497957722461,2.440268378362637,5.853091710862721,0,0,0,0.0,1,0,1,0,0.7304631471189666,1,0.7304631471189666,0.0,0,0,1,0.0,0,0,0.7304631471189666,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6.113682179832232,8.839893205289536,3.128238685769432,4.2014612941903655,1,0,0,3.340760310539712,0,0,1,0,0.7304631471189666,0,0.0,0.0,0,0,1,0.0,0,0,1.8203341036428238,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6.508769136971682,7.278278985320871,2.055641538058108,5.520859028046892,1,0,1,0.0,0,0,1,0,0.7304631471189666,1,0.0,0.7304631471189666,0,0,1,0.0,0,0,1.5409627556327752,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6.523562306149512,7.440766394665014,2.055641538058108,5.734053353741836,1,0,1,0.0,0,0,1,0,0.7304631471189666,0,0.0,0.7304631471189666,0,0,1,0.7304631471189666,0,0,0.7304631471189666,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6.51471269087253,5.210789042972047,3.011340243262834,5.604701155142846,1,0,1,0.0,0,0,1,1,0.7304631471189666,1,0.7304631471189666,0.0,0,0,1,0.7304631471189666,0,0,1.1943176378757767,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6.660575149839686,7.338607270038526,4.597156711708115,6.051526423649875,1,0,1,0.0,0,0,0,1,0.7304631471189666,1,0.7304631471189666,0.0,0,0,1,0.7304631471189666,0,0,0.7304631471189666,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6.790097235513905,5.460736201340262,3.128238685769432,6.07328940298831,1,1,1,4.492017742920502,0,0,1,1,0.7304631471189666,0,0.0,0.7304631471189666,0,0,1,0.7304631471189666,0,0,1.1943176378757767,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6.792344427470809,8.174274932967707,3.128238685769432,6.221213632878419,1,0,1,0.0,0,0,0,1,0.7304631471189666,0,0.7304631471189666,0.0,0,0,1,0.7304631471189666,0,0,2.055641538058108,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6.364750756851911,4.745132396064701,2.6025944687727294,4.999526125785847,1,0,1,3.7019729772844623,0,0,0,1,0.7304631471189666,1,0.7304631471189666,0.0,0,0,1,0.0,0,0,1.5409627556327752,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6.293419278846481,5.7737732204907655,3.2377281976988326,4.94552785072603,1,0,0,0.0,1,0,1,1,0.7304631471189666,0,0.0,0.0,0,0,0,0.7304631471189666,0,0,0.7304631471189666,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
6.226536669287466,6.07328940298831,3.340760310539712,4.6601488562176785,0,0,0,0.0,0,0,0,0,0.7304631471189666,0,0.0,0.7304631471189666,0,0,0,0.0,0,0,0.7304631471189666,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.306275286948016,5.7737732204907655,3.340760310539712,5.191749396227268,1,0,1,0.0,1,0,0,1,0.7304631471189666,1,0.0,0.7304631471189666,0,0,0,0.0,0,0,1.1943176378757767,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.846438775057725,11.011200869538248,5.0120772195485275,3.119173497670598,0,0,0,0.0,1,0,0,0,0.7304631471189666,0,0.0,0.0,0,0,0,0.0,0,0,1.1943176378757767,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6.484635235635252,5.3215405626377255,3.011340243262834,5.824215300945834,1,0,1,4.4372688011897266,1,0,1,0,0.7304631471189666,1,0.7304631471189666,0.0,0,0,1,0.7304631471189666,0,0,0.7304631471189666,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6.573680166960646,7.15298821355506,4.492017742920502,5.5270737381589985,0,0,0,0.0,0,1,1,0,0.7304631471189666,1,0.0,0.0,0,0,0,0.0,0,0,2.055641538058108,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.26530121273771,5.357203202420049,2.750250297485029,5.113806722595671,0,0,1,4.071754351052767,1,0,1,0,0.7304631471189666,0,0.7304631471189666,0.0,0,0,1,0.7304631471189666,0,0,1.5409627556327752,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6.343880434126331,4.969939052451073,2.750250297485029,5.133567292834429,1,0,1,0.0,0,0,0,1,0.7304631471189666,0,0.7304631471189666,0.7304631471189666,0,0,1,0.0,0,0,0.7304631471189666,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6.364750756851911,7.68574736325982,2.440268378362637,5.392276337227255,0,0,1,0.0,1,1,1,1,0.7304631471189666,0,0.0,0.7304631471189666,0,0,0,0.0,0,0,1.5409627556327752,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
6.317164686747284,5.7737732204907655,3.2377281976988326,5.094257406214039,0,0,1,0.0,1,0,1,0,0.7304631471189666,0,0.0,0.7304631471189666,0,0,1,0.7304631471189666,0,0,0.7304631471189666,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
6.470799503782602,8.558042564184516,5.59142712460611,5.818222937016059,1,0,1,0.0,1,0,1,0,0.7304631471189666,1,0.7304631471189666,0.0,0,0,0,0.0,0,0,1.5409627556327752,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6.502790045915623,7.323662936018393,3.782056917753863,5.497475318386225,0,0,1,0.0,0,0,1,0,0.7304631471189666,1,0.7304631471189666,0.7304631471189666,0,0,1,0.0,0,0,0.7304631471189666,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6.580639137284949,8.002448737515584,5.133567292834429,5.880206845364827,0,0,1,0.0,0,0,1,1,0.7304631471189666,1,0.7304631471189666,0.0,0,0,1,0.0,0,0,1.5409627556327752,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6.364750756851911,7.639943575432872,3.011340243262834,5.070065899030344,0,0,0,0.0,1,0,0,1,0.7304631471189666,0,0.0,0.0,0,0,0,0.7304631471189666,1,0,1.1943176378757767,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6.698268054115413,9.05699595993719,3.4381104434026533,5.7737732204907655,1,0,1,0.0,1,0,1,0,0.7304631471189666,1,0.7304631471189666,0.0,0,0,0,0.0,0,1,1.1943176378757767,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.493753839851686,5.744420430279228,3.128238685769432,5.695110934576632,0,0,1,0.0,1,0,1,0,0.7304631471189666,1,0.0,0.7304631471189666,0,0,1,0.7304631471189666,0,0,1.1943176378757767,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6.668228248417403,7.308627591436396,1.8203341036428238,5.995517194712504,1,0,1,0.0,0,1,1,0,0.7304631471189666,1,2.055641538058108,0.0,0,0,1,0.7304631471189666,0,0,2.055641538058108,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.769641976852503,7.426427090052128,2.2596737867230705,6.238806612699687,1,0,1,0.0,0,1,1,1,0.7304631471189666,0,0.0,0.7304631471189666,0,0,1,1.1943176378757767,0,0,1.5409627556327752,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6.8885724595653635,7.9678374640434715,3.2377281976988326,6.268453117386751,0,0,0,0.0,0,0,1,0,0.7304631471189666,1,0.7304631471189666,0.0,0,0,0,0.0,0,0,0.7304631471189666,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7.107425474110705,7.9678374640434715,4.3809460334448715,5.172534928709971,1,0,1,0.0,0,0,0,0,0.7304631471189666,0,0.0,0.0,0,0,1,0.0,0,0,1.1943176378757767,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6.659293919683638,8.335516734766312,3.011340243262834,5.946173499421987,1,0,1,0.0,0,0,0,0,0.7304631471189666,0,0.0,0.7304631471189666,0,0,1,0.7304631471189666,0,0,1.1943176378757767,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.516193076042964,5.653921148278169,2.885846472488202,5.735834057342362,1,0,1,4.137710644618417,1,1,1,0,0.7304631471189666,1,0.0,0.7304631471189666,1,0,1,0.7304631471189666,0,0,0.7304631471189666,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6.255750041753367,5.357203202420049,2.055641538058108,4.97206659740532,0,0,1,0.0,1,0,0,1,0.7304631471189666,0,0.7304631471189666,0.0,0,0,1,0.7304631471189666,0,0,0.7304631471189666,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6.523562306149512,6.9168874400292815,1.8203341036428238,5.559490358416789,1,0,1,4.322947514138835,1,1,1,0,0.7304631471189666,0,0.7304631471189666,0.0,0,0,1,1.1943176378757767,0,0,0.7304631471189666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6.8679744089702925,7.566242862974532,2.055641538058108,5.5270737381589985,0,1,0,4.2631607783924865,0,1,1,0,0.7304631471189666,0,0.0,0.0,0,0,0,0.0,0,0,0.7304631471189666,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6.55250788703459,5.3215405626377255,2.6025944687727294,5.7737732204907655,1,1,1,0.0,0,1,1,0,1.1943176378757767,1,0.0,0.7304631471189666,1,0,1,0.7304631471189666,0,0,1.1943176378757767,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6.317164686747284,7.262963217517579,4.545285536716194,4.697012078927853,1,0,0,0.0,1,0,0,1,0.7304631471189666,0,0.7304631471189666,0.0,0,0,0,0.0,1,0,2.055641538058108,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
